LayerParent;Layer;art;x1;y1;w;h;ArtboardName;fname;sticker_folder
GROUP BUILDER GELS;943923;943923;0;0;51;21;30g;Gels.pdf;Gels
GROUP BUILDER GELS;943924;943924;0;0;51;21;30g;Gels.pdf;Gels
GROUP BUILDER GELS;943925;943925;0;0;51;21;30g;Gels.pdf;Gels
GROUP BUILDER GELS;943926;943926;0;0;51;21;30g;Gels.pdf;Gels
GROUP BUILDER GELS;940182;940182;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940183;940183;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940184;940184;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940185;940185;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940186;940186;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940187;940187;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940188;940188;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940189;940189;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940190;940190;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940192;940192;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940193;940193;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940194;940194;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940195;940195;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940196;940196;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940197;940197;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940198;940198;0;0;55;27;50g;Gels.pdf;Gels
GROUP BUILDER GELS;940191;940191;0;0;55;27;50g;Gels.pdf;Gels
GelPolishMain;942996;942996;0;0;20;82;GP-Ingredients;GPTreatments.ai;TreatmentsOilGelPolish
GelPolishMain;942997;942997;0;0;20;82;GP-Ingredients;GPTreatments.ai;TreatmentsOilGelPolish
